node_id,terminal_code,terminal_name,venue_id,floor_id,floor_name,lat,lng,radius,type,weight
420367287272,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816141104084,106.66206515325,1.2,2,1
420367287373,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815859206238,106.66203900171,1.2,1,1
420367287878,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816026500783,106.66195719433,1.2,1,1
420367287979,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815930339363,106.66195048881,1.2,1,1
420367287676,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81586645128,106.66194244218,1.2,1,1
420367287777,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816018597111,106.66205308329,1.2,2,1
420367285050,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815807832304,106.66203497839,1.2,1,1
420367285151,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815736040509,106.66203095508,1.2,1,1
420367284848,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.8156919116,106.66192903113,1.2,1,1
420367284949,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815588505024,106.66202290845,1.2,1,1
420367285454,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815687959762,106.66202693176,1.2,2,1
420367285555,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.815460070056,106.66200882686,1.2,1,1
420367285252,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816952465055,106.6637415211,1.2,1,1
420367285353,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817012730401,106.66389843032,1.2,1,1
420367285858,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816978151925,106.66407478556,1.2,1,1
420367285959,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81704533296,106.66424845861,1.2,1,1
420367285656,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817103293055,106.66415458129,1.2,1,1
420367285757,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817020304738,106.66418475614,1.2,2,1
420367286262,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817242265514,106.66447510526,1.2,1,1
420367286363,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817157959954,106.66430076168,1.2,1,1
420367286060,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817078923472,106.66433227763,1.2,1,1
420367286161,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817132273099,106.66447544053,1.2,1,1
420367283434,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81714709244,106.6645139973,1.2,1,1
420367283535,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817353575161,106.66480032311,1.2,1,1
420367283232,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817230410046,106.66473125623,1.2,1,1
